C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1029
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1033
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1035
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1038
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1042
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1044
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1047
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1051
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1053
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1056
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1060
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1062
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1065
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1069
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1071
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1074
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1078
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1080
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1083
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1087
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1089
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1092
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1096
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1098
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1101
