C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3252
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3256
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3258
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3261
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3265
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3267
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3270
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3274
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3276
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3279
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3283
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3285
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3288
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3292
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3294
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3297
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3301
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3303
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3306
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3310
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3312
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3315
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3319
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3321
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3324
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3328
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3330
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3333
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3337
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3339
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3342
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3346
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3348
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3351
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3355
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3357
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3360
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3364
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3366
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3369
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3373
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3375
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3378
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3382
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3384
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3387
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3391
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3393
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3396
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3400
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3402
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3405
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3409
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3411
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3414
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3418
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3420
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3423
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3427
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3429
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3432
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3436
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3438
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3441
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3445
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3447
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3450
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3454
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3456
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3459
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3463
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3465
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3468
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3472
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3474
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3477
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3481
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3483
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3486
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3490
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3492
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3495
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3499
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3501
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3504
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3508
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3510
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3513
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3517
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3519
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3522
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3526
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3528
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3531
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3535
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3537
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3540
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3544
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3546
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3549
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3553
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3555
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3558
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3562
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3564
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3567
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3571
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3573
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3576
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3580
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3582
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3585
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3589
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3591
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3594
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3598
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3600
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3603
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3607
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3609
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3612
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3616
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3618
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3621
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3625
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3627
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3630
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3634
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3636
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3639
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3643
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3645
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3648
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3652
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3654
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3657
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3661
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3663
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3666
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3670
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3672
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3675
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3679
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3681
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3684
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3688
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3690
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3693
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3697
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3699
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3702
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3706
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3708
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3711
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3715
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3717
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3720
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3724
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3726
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3729
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3733
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3735
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3738
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3742
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3744
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3747
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3751
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3753
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3756
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3760
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3762
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3765
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3769
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3771
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3774
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3778
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3780
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3783
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3787
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3789
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3792
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3796
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3798
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3801
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3805
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3807
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3810
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3814
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3816
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3819
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3823
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3825
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3828
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3832
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3834
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3837
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3841
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3843
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3846
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3850
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3852
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3855
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3859
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3861
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3864
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3868
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3870
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3873
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3877
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3879
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3882
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3886
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3888
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3891
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3895
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3897
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3900
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3904
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3906
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3909
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3913
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3915
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3918
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3922
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3924
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3927
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3931
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3933
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3936
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3940
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3942
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3945
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3949
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3951
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3954
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3958
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3960
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3963
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3967
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3969
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3972
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3976
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3978
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3981
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3985
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3987
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3990
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3994
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3996
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3999
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4003
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4005
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4008
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4012
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4014
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4017
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4021
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4023
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4026
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4030
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4032
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4035
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4039
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4041
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4044
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4048
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4050
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4053
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4057
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4059
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4062
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4066
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4068
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4071
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4075
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4077
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4080
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4084
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4086
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4089
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4093
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4095
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4098
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4102
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4104
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4107
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4111
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4113
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4116
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4120
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4122
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4125
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4129
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4131
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4134
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4138
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4140
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4143
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4147
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4149
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4152
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4156
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4158
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4161
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4165
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4167
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4170
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4174
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4176
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4179
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4183
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4185
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4188
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4192
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4194
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4197
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4201
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4203
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4206
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4210
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4212
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4215
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4219
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4221
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4224
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4228
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4230
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4233
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4237
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4239
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4242
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4246
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4248
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4251
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4255
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4257
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4260
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4264
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4266
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4269
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4273
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4275
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4278
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4282
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4284
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4287
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4291
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4293
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4296
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4300
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4302
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4305
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4309
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4311
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4314
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4318
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:4320
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:4323
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:4327
