C00C  10 FB     BPL $C009                       f0      c355         i101         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 42 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c358         i102         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 51 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c362         i103         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 63 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c365         i104         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 72 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c369         i105         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 84 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c372         i106         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 93 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c376         i107         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:105 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c379         i108         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:114 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c383         i109         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:126 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c386         i110         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:135 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c390         i111         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:147 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c393         i112         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:156 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c397         i113         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:168 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c400         i114         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:177 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c404         i115         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:189 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c407         i116         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:198 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c411         i117         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:210 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c414         i118         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:219 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c418         i119         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:231 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c421         i120         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:240 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c425         i121         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:252 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c428         i122         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:261 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c432         i123         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:273 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c435         i124         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:282 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c439         i125         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:294 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c442         i126         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:303 SL:2   2002:00 2004:00 2007:00 
