Opcode: AND 29 EF A: 0x74 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC800 P: 0x64 CYC: 222, PPU: cycle 325, scanline 1
Opcode: CMP C9 64 A: 0x64 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC802 P: 0x64 CYC: 224, PPU: cycle 331, scanline 1
Opcode: BEQ F0 4 A: 0x64 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC804 P: 0x67 CYC: 226, PPU: cycle 337, scanline 1
Opcode: NOP EA A: 0x64 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC80A P: 0x67 CYC: 229, PPU: cycle 5, scanline 2
Opcode: LDA A9 80 A: 0x64 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC80B P: 0x67 CYC: 231, PPU: cycle 11, scanline 2
Opcode: STA 85 1 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC80D P: 0xE5 CYC: 233, PPU: cycle 17, scanline 2
Opcode: BIT 24 1 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC80F P: 0xE5 CYC: 236, PPU: cycle 26, scanline 2
Opcode: SED F8 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC811 P: 0xA5 CYC: 239, PPU: cycle 35, scanline 2
Opcode: LDA A9 0 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC812 P: 0xAD CYC: 241, PPU: cycle 41, scanline 2
Opcode: SEC 38 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC814 P: 0x2F CYC: 243, PPU: cycle 47, scanline 2
Opcode: PHP 8 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC815 P: 0x2F CYC: 245, PPU: cycle 53, scanline 2
Opcode: PLA 68 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC816 P: 0x2F CYC: 248, PPU: cycle 62, scanline 2
Opcode: AND 29 EF A: 0x3F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC817 P: 0x2D CYC: 252, PPU: cycle 74, scanline 2
Opcode: CMP C9 2F A: 0x2F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC819 P: 0x2D CYC: 254, PPU: cycle 80, scanline 2
Opcode: BEQ F0 4 A: 0x2F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC81B P: 0x2F CYC: 256, PPU: cycle 86, scanline 2
Opcode: NOP EA A: 0x2F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC821 P: 0x2F CYC: 259, PPU: cycle 95, scanline 2
Opcode: LDA A9 FF A: 0x2F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC822 P: 0x2F CYC: 261, PPU: cycle 101, scanline 2
Opcode: PHA 48 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC824 P: 0xAD CYC: 263, PPU: cycle 107, scanline 2
Opcode: PLP 28 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC825 P: 0xAD CYC: 266, PPU: cycle 116, scanline 2
Opcode: BNE D0 9 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC826 P: 0xEF CYC: 270, PPU: cycle 128, scanline 2
Opcode: BPL 10 7 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC828 P: 0xEF CYC: 272, PPU: cycle 134, scanline 2
Opcode: BVC 50 5 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC82A P: 0xEF CYC: 274, PPU: cycle 140, scanline 2
Opcode: BCC 90 3 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC82C P: 0xEF CYC: 276, PPU: cycle 146, scanline 2
Opcode: JMP 4C 35 C8 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC82E P: 0xEF CYC: 278, PPU: cycle 152, scanline 2
Opcode: NOP EA A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC835 P: 0xEF CYC: 281, PPU: cycle 161, scanline 2
Opcode: LDA A9 4 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC836 P: 0xEF CYC: 283, PPU: cycle 167, scanline 2
Opcode: PHA 48 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC838 P: 0x6D CYC: 285, PPU: cycle 173, scanline 2
